	脳神経内科	1	010110xxxxx4xx	免疫介在性・炎症性ニューロパチー　ガンマグロブリンあり	33	11.18	16.11	6.06%	51.5						
	脳神経内科	2	010040x099000x 	非外傷性頭蓋内血腫（非外傷性硬膜下血腫以外）（JCS10未満）<br>手術なし　	10	18.00	18.90	70.00%	68.1						
	脳神経内科	3	010130xx99x4xx	重症筋無力症　手術なし　ガンマグロブリンあり	10	10.50	16.34	10.00%	50.2						
	脳神経内科	4	010060x2990401 	脳梗塞（脳卒中発症3日目以内，かつ，JCS10未満）　手術なし<br>エダラボンあり　発症前Rankin Scale 0，1又は2　	-	12.13	15.63	37.50%	65.0			
	脳神経内科	5	010080xx99x0x1	脳脊髄の感染を伴う炎症　手術なし　15歳以上	-	15.38	16.74	25.00%	62.3						
	
	外科	1	060335xx02000x 	胆嚢炎等　腹腔鏡下胆嚢摘出術等	66	8.32	7.11	1.52%	69.7						
	外科	2	060160x001xxxx	鼠径ヘルニア（15歳以上）　腹腔鏡下鼡径ヘルニア手術等	62	7.29	4.74	3.23%	75.8						
	外科	3	060040xx99x6xx	直腸肛門（直腸Ｓ状部から肛門）の悪性腫瘍　手術なし　ベバシズマブ等あり　	44	3.77	4.40	0.00%	76.5						
	外科	4	060035xx010x0x 	結腸（虫垂を含む）の悪性腫瘍　腹腔鏡下結腸悪性腫瘍手術等	43	15.84	15.76	6.98%	74.7						
	外科	5	090010xx010xxx	乳房の悪性腫瘍　乳腺悪性腫瘍手術　乳房切除術（腋窩部郭清を伴わないもの）等　	39	13.59	10.15	2.56%	61.8						

	呼吸器外科	1	040040xx97x00x	肺の悪性腫瘍　胸腔鏡下肺悪性腫瘍手術等	97	10.28	10.47	1.03%	73.3						
	呼吸器外科	2	040040xx99040x	肺の悪性腫瘍　手術なし　化学療法ありかつ放射線療法なし	19	9.42	9.07	5.26%	67.8						
	呼吸器外科	3	040040xx9909xx	肺の悪性腫瘍　手術なし　化学療法ありかつ放射線療法なし（オプジーボなど）	19	6.63	10.46	0.00%	69.1						
	呼吸器外科	4	040040xx9900xx	肺の悪性腫瘍　手術なし　	12	9.58	13.12	41.67%	74.0						
	呼吸器外科	5	040200xx99x00x	気胸　手術なし　	10	7.90	9.28	20.00%	76.3						

	消化器内科	1	060340xx03x00x	胆管（肝内外）結石，胆管炎　内視鏡的乳頭切開術等　	184	8.22	9.21	1.63%	75.4						
	消化器内科	2	060100xx01xxxx	小腸大腸の良性疾患（良性腫瘍を含む）　<br>内視鏡的大腸ポリープ・粘膜切除術	114	3.49	2.65	0.00%	74.3						
	消化器内科	3	060020xx04xxxx	胃の悪性腫瘍　内視鏡的胃，十二指腸ポリープ・粘膜切除術	50	11.64	7.96	0.00%	75.9						
	消化器内科	4	060130xx0200xx	食道，胃，十二指腸，他腸の炎症（その他良性疾患）　<br>内視鏡的消化管止血術等	47	9.74	8.91	6.38%	76.4						
	消化器内科	5	060300xx97100x	肝硬変（胆汁性肝硬変を含む）　内視鏡的食道・胃静脈瘤結紮術等		36	11.83	11.81	2.78%	60.9						

	腎臓内科	1	110280xx02x00x	慢性腎炎症候群・慢性間質性腎炎・慢性腎不全　内シャント造設術等	159	11.82	7.87	7.55%	71.6						
	腎臓内科	2	110280xx9900xx	慢性腎炎症候群・慢性間質性腎炎・慢性腎不全　手術なし	142	6.88	10.39	10.56%	61.4						
	腎臓内科	3	110280xx02x1xx 	慢性腎炎症候群・慢性間質性腎炎・慢性腎不全　<br>内シャント造設術等　人工腎臓（その他の場合）あり	52	33.48	34.08	19.23%	75.5						腎臓内科	4	110280xx9901xx 	慢性腎炎症候群・慢性間質性腎炎・慢性腎不全　<br>手術なし　人工腎臓（その他の場合）あり	48	14.67	13.74	6.25%	73.6						
	腎臓内科	5	110280xx01x20x 	慢性腎炎症候群・慢性間質性腎炎・慢性腎不全　<br>連続携行式腹膜灌流用カテーテル腹腔内留置術　腹膜灌流  連続携行式腹膜灌流あり	41	30.95	25.90	17.07%	67.2						
	泌尿器科	1	110080xx991xxx	前立腺の悪性腫瘍　手術なし　前立腺針生検法あり	97	2.73	2.50	2.06%	72.4						
	泌尿器科	2	110070xx03x20x	膀胱腫瘍　膀胱悪性腫瘍手術（経尿道的手術）等　化学療法あり	86	7.37	6.86	0.00%	75.7						
	泌尿器科	3	11012xxx020x0x	上部尿路疾患　経尿道的尿路結石除去術（レーザー）	39	4.85	5.56	0.00%	62.6						
	泌尿器科	4	110200xx02xxxx	前立腺肥大症等　経尿道的レーザー前立腺切除・蒸散術（ホルミウムレーザー等使用）等	33	7.03	8.23	0.00%	73.9						
	泌尿器科	5	11001xxx01x0xx	腎腫瘍　腹腔鏡下腎（尿管）悪性腫瘍手術等	27	10.89	10.63	0.00%	65.9						

	耳鼻咽喉科・頭頸部外科	1	030440xx01xxxx	慢性化膿性中耳炎・中耳真珠腫　鼓室形成手術等	36	6.03	7.09	0.00%	51.6						
	耳鼻咽喉科・頭頸部外科	2	030350xxxxxxxx	慢性副鼻腔炎　内視鏡的鼻・副鼻腔手術等	20	6.95	6.47	0.00%	60.8						
	耳鼻咽喉科・頭頸部外科	3	030150xx97xxxx	耳・鼻・口腔・咽頭・大唾液腺の腫瘍　耳下腺腫瘍摘出術等	18	5.78	7.03	0.00%	61.8						
	耳鼻咽喉科・頭頸部外科	4	03001xxx0111xx	頭頸部悪性腫瘍　口腔，顎，顔面悪性腫瘍切除術等　自家遊離複合組織移植術等あり　中心静脈注射等あり	17	45.24	41.34	11.76%	69.6			
	耳鼻咽喉科・頭頸部外科	5	03001xxx0100xx	頭頸部悪性腫瘍　咽頭悪性腫瘍手術等	16	12.56	13.07	12.50%	69.1						

	婦人科	1	120070xx02xxxx	卵巣の良性腫瘍　子宮附属器腫瘍摘出術（両側）（腹腔鏡）等	11	6.00	6.11	0.00%	57.2						
	婦人科	2	12002xxx02x0xx	子宮頸・体部の悪性腫瘍　子宮頸部（腟部）切除術等	10	5.00	3.05	0.00%	45.0						
	婦人科	3	12002xxx99x40x	子宮頸・体部の悪性腫瘍　手術なし　化学療法ありかつ放射線療法なし	-	-	4.34	-	-						
	婦人科	4	120060xx01xxxx	子宮の良性腫瘍　子宮全摘術等	-	-	9.46	-	-						
	婦人科	5	120010xx99x50x	卵巣・子宮附属器の悪性腫瘍　手術なし　化学療法ありかつ放射線療法なし	-	-	4.23	-	-						

	眼科	1	020110xx97xxx1	白内障，水晶体の疾患　水晶体再建術等　両眼		250	5.07	4.83	0.00%	75.7						
	眼科	2	020110xx97xxx0	白内障，水晶体の疾患　水晶体再建術等　片眼		127	3.69	2.71	0.00%	74.0						
	眼科	3	020200xx9710xx	黄斑，後極変性　硝子体茎顕微鏡下離断術（網膜付着組織を含むもの）等<br>　水晶体再建術等あり	74	8.03	6.14	0.00%	70.9						
	眼科	4	020220xx97xxx0	緑内障　緑内障手術（流出路再建術）等　片眼		69	5.51	5.41	0.00%	74.6						
	眼科	5	020160xx97xxx0	網膜剥離　硝子体茎顕微鏡下離断術等　水晶体再建術等あり　片眼	52	12.52	8.48	0.00%	63.1						

	整形外科	1	160800xx01xxxx	股関節・大腿近位の骨折　人工骨頭挿入術（股）等	52	24.60	25.32	96.15%	82.2						
	整形外科	2	160760xx97xx0x	前腕の骨折　骨折観血的手術（前腕）等	-	-	4.99	-	-						
	整形外科	3	07040xxx01xxxx	股関節骨頭壊死，股関節症（変形性を含む）　人工骨頭置換術等	-	-	20.63	-	-						
	整形外科	4	160720xx01xxxx	肩関節周辺の骨折・脱臼　骨折観血的手術（肩甲骨等）等	-	-	14.64	-	-						
	整形外科	5	160740xx01xx0x	肘関節周辺の骨折・脱臼　関節内骨折観血的手術（肘）等　	-	-	5.74	-	-						

	形成外科	1	020230xx97x0xx	眼瞼下垂　眼瞼下垂症手術等	19	4.74	2.94	0.00%	66.6						
	形成外科	2	080006xx97x0xx	皮膚の悪性腫瘍（黒色腫以外）　全層植皮術等	-	-	9.61	-	-						
	形成外科	3	100100xx97x1xx	糖尿病足病変　全層植皮術等　局所陰圧閉鎖処置等あり	-	-	48.20	-	-						
	形成外科	4	090010xx04xxxx	乳房の悪性腫瘍　ゲル充填人工乳房を用いた乳房再建術（乳房切除後）等	-	-	8.10	-	-						
	形成外科	5	160200xx0200xx	顔面損傷（口腔，咽頭損傷を含む）　鼻骨骨折観血的整復術等	-	-	5.16	-	-						

	麻酔科・集中治療部	1	040081xx99x0xx	誤嚥性肺炎　手術なし　	17	14.59	20.57	29.41%	87.8						
	麻酔科・集中治療部	2	110310xx99xxxx	腎臓または尿路の感染症　手術なし　	14	15.00	13.14	28.57%	82.1						
	麻酔科・集中治療部	3	180010x0xxx0xx	敗血症（1歳以上）　	-	-	19.22	-	-						
	麻酔科・集中治療部	4	030400xx99xxxx	前庭機能障害　手術なし　	-	-	4.92	-	-						
	麻酔科・集中治療部	5	080010xxxx0xxx	膿皮症　	-	-	13.07	-	-						

	血液内科	1	130010xx97x2xx	急性白血病　輸血あり　化学療法あり	48	39.81	37.46	2.08%	71.0						
	血液内科	2	130030xx99x4xx	非ホジキンリンパ腫　手術なし　化学療法ありかつ放射線療法なし　	45	10.51	10.66	13.33%	78.5						
	血液内科	3	130060xx99x4xx	骨髄異形成症候群　手術なし　アザシチジンあり	38	9.53	10.12	0.00%	80.7			
	血液内科	4	130060xx97x40x	骨髄異形成症候群　輸血あり　アザシチジンあり　　	37	11.08	18.76	2.70%	77.8						
	血液内科	5	130030xx99x5xx	非ホジキンリンパ腫　手術なし　化学療法ありかつ放射線療法なし　	33	18.64	19.92	12.12%	76.1			

	呼吸器内科	1	040040xx9909xx	肺の悪性腫瘍　手術なし　化学療法ありかつ放射線療法なし	36	10.75	10.46	5.56%	70.7						
	呼吸器内科	2	040110xxxxx0xx	間質性肺炎	33	21.03	18.42	21.21%	80.1						
	呼吸器内科	3	040040xx99041x 	肺の悪性腫瘍　手術なし　化学療法ありかつ放射線療法なし　定義副傷病あり	27	7.85	14.96	0.00%	69.3						
	呼吸器内科	4	040040xx99040x	肺の悪性腫瘍　手術なし　化学療法ありかつ放射線療法なし　	17	9.82	9.07	5.88%	77.0						
	呼吸器内科	5	040040xx9900xx 	肺の悪性腫瘍　手術なし　	14	11.29	13.12	28.57%	73.9						
