	泌尿器科	2	110070xx03x20x	膀胱腫瘍　膀胱悪性腫瘍手術（経尿道的手術）等　化学療法あり	142	6.75	6.66	0.00%	75.1						
	泌尿器科	3	110060xx99x20x	腎盂・尿管の悪性腫瘍　手術なし　化学療法あり	41	7.71	9.46	0.00%	70.9						
	泌尿器科	4	11012xxx02xx0x	上尿路疾患　経尿道的尿路結石除去術（レーザー）	38	3.97	5.29	0.00%	65.0						
	泌尿器科	5	11001xxx01x0xx	腎腫瘍　腹腔鏡下腎（尿管）悪性腫瘍手術等	34	12.12	10.27	2.94%	66.5						

	耳鼻咽喉科・頭頸部外科	1	03001xxx99x7xx	頭頸部悪性腫瘍　手術なし　化学療法あり	27	10.22	8.56	3.70%	61.3						
	耳鼻咽喉科・頭頸部外科	2	03001xxx0200xx	頭頸部悪性腫瘍　舌悪性腫瘍手術等	26	19.04	12.90	19.23%	75.7						
	耳鼻咽喉科・頭頸部外科	3	030440xx01xxxx	慢性化膿性中耳炎・中耳真珠腫　鼓室形成手術等	26	6.96	6.83	0.00%	46.2						
	耳鼻咽喉科・頭頸部外科	4	030350xxxxxxxx	慢性副鼻腔炎　内視鏡的鼻・副鼻腔手術等	23	7.26	6.23	0.00%	62.2			
	耳鼻咽喉科・頭頸部外科	5	030150xx97xxxx	耳・鼻・口腔・咽頭・大唾液腺の腫瘍　耳下腺腫瘍摘出術等	22	6.09	6.81	0.00%	64.3						

	婦人科	1	120070xx02xxxx	卵巣の良性腫瘍　卵巣部分切除術（腹腔鏡）等	27	6.07	6.04	0.00%	57.5						
	婦人科	2	12002xxx02x0xx	子宮頸・体部の悪性腫瘍　子宮頸部（腟部）切除術等	16	4.00	3.02	0.00%	44.5						
	婦人科	3	120060xx01xxxx	子宮の良性腫瘍　子宮全摘術等	16	11.50	9.27	0.00%	47.8						
	婦人科	4	120060xx02xxxx	子宮の良性腫瘍　腹腔鏡下腟式子宮全摘術等	12	6.17	5.98	0.00%	46.2						
	婦人科	5	12002xxx99x0xx	子宮頸・体部の悪性腫瘍　手術なし	-	-	9.26	-	-						

	眼科	1	020110xx97xxx1	白内障，水晶体の疾患　水晶体再建術等　両眼		258	5.07	4.67	0.78%	77.7						
	眼科	2	020110xx97xxx0	白内障，水晶体の疾患　水晶体再建術等　片眼		129	3.71	2.63	0.78%	72.8						
	眼科	3	020200xx9710xx	黄斑，後極変性　硝子体茎顕微鏡下離断術（網膜付着組織を含むもの）等　水晶体再建術等あり	74	6.64	5.80	0.00%	72.0						
	眼科	4	020220xx01xxx0	緑内障　緑内障手術（流出路再建術）等　片眼		41	8.27	8.97	0.00%	71.6						
	眼科	5	020160xx97xxx0	網膜剥離　硝子体茎顕微鏡下離断術等　水晶体再建術等あり　片眼	38	13.32	8.05	0.00%	65.5						

	整形外科		1	160800xx01xxxx	股関節・大腿近位の骨折　人工骨頭挿入術（股）等	37	25.14	26.42	70.27%	80.8						
	整形外科		2	07040xxx01xxxx	股関節骨頭壊死、人工関節置換術等	10	21.10	20.14	60.00%	73.0						
	整形外科		3	160760xx97xx0x	前腕の骨折　骨折観血的手術(前腕）等あり	-	-	4.86	-	-						
	整形外科		4	070230xx01xxxx	膝関節症（変形性を含む。）　人工関節置換術等	-	-	22.44	-	-						
	整形外科		5	07010xxx97xxxx	化膿性関節炎（下肢）　化膿性関節炎又は結核性関節炎掻爬術（股,膝）あり　	-	-	42.11	-	-						

	形成外科		1	020230xx97x0xx	眼瞼下垂　眼瞼下垂症手術等	17	3.06	2.90	0.00%	76.9						
	形成外科		2	160200xx02000x	顔面損傷（口腔，咽頭損傷を含む。）　鼻骨骨折観血的整復術等	-	-	4.72	-	-						
	形成外科		3	070570xx972xxx	瘢痕拘縮　皮膚、皮下腫瘍摘出術等　皮弁作成術、移動術、切断術、遷延皮弁術等あり	-	-	7.60	-	-						
	形成外科		4	080007xx010xxx	皮膚の良性新生物　皮膚、皮下腫瘍摘出術（露出部）等	-	-	3.94	-	-						
	形成外科		5	020320xx97xxxx	眼瞼、涙器、眼窩の疾患　眼瞼外反症手術あり	-	-	3.11	-	-						

	麻酔科・集中治療部		1	040081xx99x0xx	誤嚥性肺炎　手術なし　	22	20.73	21.11	72.73%	86.0						
	麻酔科・集中治療部		2	110310xx99xxxx	腎臓または尿路の感染症　手術なし　　	13	19.85	13.61	76.92%	86.4						
	麻酔科・集中治療部		3	030400xx99xxxx	前庭機能障害　手術なし　	13	5.00	4.79	15.38%	75.2						
	麻酔科・集中治療部		4	180010x0xxx0xx	敗血症（1歳以上）　	-	-	19.61	-	-						
	麻酔科・集中治療部		5	180030xxxxxx0x	その他の感染症（真菌を除く。）　　	-	-	9.48	-	-						

	血液内科		1	130030xx99x6xx	非ホジキンリンパ腫　手術なし　化学療法あり	52	13.98	13.22	3.85%	70.9						
	血液内科		2	130030xx99x9xx	非ホジキンリンパ腫　手術なし　化学療法あり　	44	9.91	13.53	0.00%	77.3						
	血液内科		3	130010xx97x2xx	急性白血病　輸血あり　化学療法あり	30	38.47	37.16	6.67%	71.3			
	血液内科		4	130060xx97x40x	骨髄異形成症候群　輸血あり　アザシチジンあり　　	27	11.15	18.00	7.41%	76.4						
	血液内科		5	130010xx97x9xx	急性白血病　手術あり　アザシチジン+ベネトクラクスあり　	25	43.76	36.20	0.00%	71.6	
	血液内科		5	130030xx99x4xx	非ホジキンリンパ腫　手術なし　リツキシマブあり　	25	10.32	10.00	0.00%	79.7		

	呼吸器内科	1	040040xx9909xx	肺の悪性腫瘍　手術なし　化学療法あり		29	11.41	10.18	20.69%	72.5						
	呼吸器内科	2	040110xxxxx0xx	間質性肺炎	29	20.59	18.57	24.14%	78.6						
	呼吸器内科	3	040040xx99040x	肺の悪性腫瘍　手術なし　化学療法ありかつ放射線療法なし		20	10.15	8.60	5.00%	70.3						
	呼吸器内科	4	040040xx9900xx	肺の悪性腫瘍　手術なし　	17	12.88	13.49	47.06%	77.8						
	呼吸器内科	5	040040xx99041x 	肺の悪性腫瘍　手術なし　化学療法ありかつ放射線療法なし　	14	11.00	14.42	7.14%	67.6						

	放射線科		1	050163xx97x0xx	非破裂性大動脈瘤，腸骨動脈瘤　血管塞栓術　	21	4.14	7.12	4.76％	76.6
	放射線科		2	050200xx97xxxx	循環器疾患（その他）　血栓塞栓術　	-	-	9.53	-	-
	放射線科		3	050163xx9900xx	非破裂性大動脈瘤、腸骨動脈瘤　手術なし　	-	-	-	-	-
	放射線科		4	040240xx99x0xx	肺循環疾患　手術なし　	-	-	9.93	-	-
	放射線科		5	161060xx97x0xx	詳細不明の損傷等　経皮的血管内異物除去術あり　	-	-	9.30	-	-
