	消化器内科	2	K7211	大腸ポリープ粘膜・粘膜切除　２?未満	112	0.8	2.1	0.9	74.0						
	消化器内科	3	K6532	内視鏡的胃、十二指腸ポリープ・粘膜切除術　早期悪性腫瘍胃粘膜下層剥離術	62	1.3	8.4	1.6	76.6						
	消化器内科	4	K6871	内視鏡的乳頭切開術（乳頭括約筋切開のみ）	61	1.4	5.2	1.6	71.7						
	消化器内科	5	K654	上部消化管止血術	42	1.0	10.3	9.5	75.0						
	腎臓内科	1	K6121ｲ	末梢動静脈瘻造設術（内シャント造設術）（単純）	150	5.6	11.1	12.0	70.8						
	腎臓内科	2	K635-3	連続携行式腹膜灌流用カテーテル腹腔内留置術	81	8.0	13.0	4.9	69.1						
	腎臓内科	3	K6147	血管移植術，バイパス移植術（その他の動脈）	45	1.7	13.6	4.4	73.5						
	腎臓内科	4	K616-41	経皮的シャント拡張術・血栓除去術（初回）	29	2.4	5.0	3.4	69.5						
	腎臓内科	5	K6072	血管結紮術（その他）	13	1.6	5.6	7.7	76.2						
	泌尿器科	1	K8036ｲ	膀胱悪性腫瘍手術（経尿道的手術）（電解質溶液利用）	118	1.2	4.8	0.0	75.3						
	泌尿器科	2	K7811	経尿道的尿路結石除去術（レーザーによるもの）	60	1.3	3.2	0.0	61.0						
	泌尿器科	3	K773-2	腹腔鏡下腎（尿管）悪性腫瘍手術	30	1.6	9.3	3.3	68.9						
	泌尿器科	4	K783-2	経尿道的尿管ステント留置術	28	0.5	8.0	14.3	68.7						
	泌尿器科	5	K843-4	腹腔鏡下前立腺悪性腫瘍手術（内視鏡手術用支援機器を用いるもの）	23	1.0	9.7	0.0	69.1						
	耳鼻咽喉科・頭頸部外科	1	K3192	鼓室形成手術（耳小骨再建術）	37	1.2	4.4	0.0	53.0						
	耳鼻咽喉科・頭頸部外科	2	K3772	口蓋扁桃手術（摘出）	31	1.0	4.9	0.0	35.6						
	耳鼻咽喉科・頭頸部外科	3	K340-5	内視鏡下鼻・副鼻腔手術3型（選択的（複数洞）手術）	17	1.0	4.4	0.0	65.2						
	耳鼻咽喉科・頭頸部外科	4	K3191	鼓室形成手術（耳小骨温存術）	13	1.0	3.5	0.0	50.2						
	耳鼻咽喉科・頭頸部外科	5	K340-6	内視鏡下鼻・副鼻腔手術4型（汎副鼻腔手術）	11	1.2	5.7	0.0	66.5						
	婦人科	1	K8882	子宮附属器腫瘍摘出術（両側）（腹腔鏡）	28	1.1	3.6	0.0	59.3						
	婦人科	2	K877	子宮全摘術	23	1.1	7.2	0.0	48.8						
	婦人科	3	K877-2	腹腔鏡下腟式子宮全摘術	13	1.0	4.9	0.0	53.2						
	婦人科	4	K867	子宮頸部（腟部）切除術			1.9								
	婦人科	5	K879	子宮悪性腫瘍手術			8.2								
	眼科】	1	K2821ﾛ	水晶体再建術（眼内レンズを挿入する場合）（その他）	392	1.0	2.5	0.0	75.6						
	眼科】	2	K2801	硝子体茎顕微鏡下離断術（網膜付着組織を含むもの）	134	1.4	7.7	0.0	66.8						
	眼科】	3	K2821ｲ	水晶体再建術（眼内レンズを挿入する場合）（縫着レンズ）	39	1.5	4.7	0.0	78.0						
	眼科】	4	K279	硝子体切除術	21	1.6	4.0	0.0	74.5						
	眼科】	5	K2683	緑内障手術（濾過手術）	16	1.0	7.21	0.0	75.6						
	整形外科	1	K0461	骨折観血的手術（大腿）	23	5.2	18.0	78.3	80.4						
	整形外科	2	K0811	人工骨頭挿入術（股）	16	6.8	19.3	100.0	85.1						
	整形外科	3	K0821	人工関節置換術（股）	12	1.8	18.6	83.3	74.6						
	整形外科	4	K0462	骨折観血的手術（前腕）			7.6								
	整形外科	5	K084	大腿切断術			40.4								
	形成外科	1	K2191	眼瞼下垂症手術（眼瞼挙筋前転法）	28	0.0	2.6	0.0	66.0						
	形成外科	2	K476-4	ゲル充填人工乳房を用いた乳房再建術（乳房切除後）			7.3								
	形成外科	3	K0152	皮弁作成術、移動術、切断術、遷延皮弁術（２５～１００ｃｍ２未満）			3.7								
	形成外科	4	K2192	眼瞼下垂症手術（筋膜移植法）			4.3								
	形成外科	5	K2193	眼瞼下垂症手術（その他）			1.3								
	放射線科	1	K6153	血管塞栓術（頭部、胸腔、腹腔内血管等）（その他）	37	1.0	2.0	0.0	74.5						
	放射線科	2													
	放射線科	3													
	放射線科	4													
	放射線科	5													
